text,role
python machine learning deep learning tensorflow pytorch neural networks nlp computer vision mlops,Machine Learning Engineer
scikit-learn keras feature engineering model deployment python ai research huggingface transformers,Machine Learning Engineer
pytorch cuda llm fine tuning reinforcement learning computer vision opencv machine learning engineer,Machine Learning Engineer
excel sql data analysis power bi tableau statistics pandas reporting dashboards analytics,Data Analyst
business intelligence sql power query visualization kpi metrics data cleaning etl excel,Data Analyst
python pandas numpy matplotlib seaborn data analysis statistics reporting dashboards,Data Analyst
html css javascript react node mongodb full stack web frontend backend api express,Full Stack Developer
react express typescript next.js rest api postgres docker mern stack web development,Full Stack Developer
javascript typescript react node.js mongodb sql fullstack developer web applications,Full Stack Developer
docker kubernetes aws ci cd linux devops automation terraform jenkins pipeline monitoring,DevOps Engineer
github actions kubernetes helm prometheus grafana infrastructure as code ansible devops,DevOps Engineer
aws azure gcp terraform docker containers continuous integration continuous deployment,DevOps Engineer
java spring boot microservices hibernate maven backend api rest sql postgresql,Backend Developer
python django flask fastapi node express backend api microservices database sql,Backend Developer
golang java spring restful api backend engineer database redis kafka message queue,Backend Developer
html css javascript react angular vue typescript frontend ui ux responsive design,Frontend Developer
react next.js typescript redux css tailwind frontend developer web interface,Frontend Developer
javascript typescript react vue figma frontend engineer spa progressive web app,Frontend Developer
python data science machine learning statistics pandas numpy scikit-learn jupyter,Data Scientist
data scientist statistical modeling regression classification nlp feature engineering,Data Scientist
python r statistics machine learning deep learning data scientist experimentation ab testing,Data Scientist
java python javascript software developer algorithms data structures oop system design,Software Developer
software engineer programming problem solving git agile scrum unit testing debugging,Software Developer
c++ java python software development object oriented design design patterns clean code,Software Developer
